Name,Country,Location,Height,Notes
Watkin's Tower,United Kingdom,"Wembley, Greater London","358 m (1,175 ft) planned height","Never completed: construction begun in 1891, demolished in 1907."
Dragon Tower,China,"Harbin, Heilongjiang","336 m (1,102 ft)",Communication tower
Tokyo Tower,Japan,"Minato, Tokyo","332.5 m (1,091 ft)",Its architect also designed the Sapporo TV Tower
Nagoya TV Tower,Japan,Nagoya,180 m (591 ft),"Though principally a communications tower, it also features two restaurants and an open-air observation deck; completed in 1954"
New Brighton Tower,United Kingdom,"New Brighton, Merseyside",173 m (568 ft),"Completed by 1900, demolished by 1921"
Las Vegas Eiffel Tower,United States,"Las Vegas, Nevada",164.6 m (540 ft),Paris Las Vegas hotel/casino on the Las Vegas Strip
Ismaning Radio Tower,Germany,"Ismaning, Bavaria",163 m (535 ft),Wooden radio tower used for medium wave broadcasting. Demolished in 1983
Funkturm Berlin,Germany,Berlin,150 m (492 ft),"Broadcasting tower built 1924 and 1926, no longer functions as such; civic landmark featuring restaurant and observation deck"
The Parisian,Macau,"Cotai Strip, Macau",150 m (492 ft),Completed and opened on 13 September 2016
Eiffel Tower,China,Shenzhen,108 m (354 ft),"Dominant structure at Window of the World, a collection of nearly 130 reproductions of famous tourist attractions, opened 1993"
Eiffel Tower of Tianducheng Community,China,Hangzhou,108 m (354 ft),"Central feature of Tianducheng, a Paris-themed housing development, home to some 50,000 people[4]"
Eiffel Tower,United States,"Mason, Ohio",101 m (331 ft) (approximately),Kings Island amusement park
Eiffel Tower,United States,"Doswell, Virginia",101 m (331 ft) (approximately),Kings Dominion amusement park
Metallic tower of Fourvière,France,Lyon,101 m (331 ft),Built between 1892 and 1894 as observation tower; now used solely for communications.
Eiffel Tower replica in Bahria Town Lahore,Pakistan,Bahria Town Lahore. Lahore,80 m (262 ft),Constructed in 2014 as a focal point for a housing estate
Eiffel Tower replica in Bahria Town Karachi[6],Pakistan,"Bahria Town Karachi, Karachi",80 m (262 ft),Construction started in 2019 and opened for public visits on 31 December 2020.
Torre del Reformador,Guatemala,Guatemala City,75 m (246 ft),Erected in 1935
"Tsūtenkaku (""Tower Reaching Heaven"")",Japan,Osaka,64 m (210 ft),"At Luna Park; destroyed by fire 1945, replaced with a different design"
Petřín Lookout Tower,Czech Republic,Prague,63.5 m (208 ft),Built in 1891 as an observation tower with octagonal plan; now also used for communications.
Torre Eiffel,Mexico,"Gómez Palacio, Durango",58 m (190 ft) (approximately),Donated by the French-speaking community of Gómez Palacio in 2007
Eiffel Tower,Romania,Slobozia,54 m (177 ft),Erected as part of a private tourist complex
Eiffel Tower,Russia,"Parizh, Chelyabinsk Oblast",50 m (164 ft),Built by South Ural Cell Telephone company as a cellphone tower
AWA Tower,Australia,"Sydney, New South Wales",46 m (151 ft),"Communications tower sits atop 12-story building, completed in 1939"
Bordeaux Tower,United States,"Fayetteville, North Carolina",45 m (148 ft) (approximately),Built as part of a shopping center
Copenhagen Zoo Tower,Denmark,Copenhagen,43.5 m (143 ft),"Built in 1905, it is one of the world's tallest observation towers built of wood"
Tour d'Eiffel de Fes,Morocco,Fez,39 m (128 ft),"Built in 2012 to honor the bond between the cities of Fez and Paris, but reported to have been removed in 2016[7]"
